Channel,Line,Sex,Rep,Light_cycle,bout_count,Line_pooled
adj_Monitor8_ch14,208wt,M,1,LD,5.5,208wt
adj_Monitor8_ch15,208wt,M,1,LD,6,208wt
adj_Monitor8_ch16,208wt,M,1,LD,6.166666667,208wt
adj_Monitor8_ch17,208wt,M,1,LD,3.833333333,208wt
adj_Monitor8_ch18,208wt,M,1,LD,4.833333333,208wt
adj_Monitor8_ch19,208wt,M,1,LD,9.166666667,208wt
adj_Monitor8_ch2,208wt,M,1,LD,9.5,208wt
adj_Monitor8_ch20,208wt,M,1,LD,8,208wt
adj_Monitor8_ch21,208wt,M,1,LD,8.333333333,208wt
adj_Monitor8_ch22,208wt,M,1,LD,6.166666667,208wt
adj_Monitor8_ch23,208wt,M,1,LD,4.166666667,208wt
adj_Monitor8_ch24,208wt,M,1,LD,4.833333333,208wt
adj_Monitor8_ch25,208wt,M,1,LD,3,208wt
adj_Monitor8_ch26,208wt,M,1,LD,8,208wt
adj_Monitor8_ch27,208wt,M,1,LD,8.666666667,208wt
adj_Monitor8_ch28,208wt,M,1,LD,5.833333333,208wt
adj_Monitor8_ch29,208wt,M,1,LD,7.833333333,208wt
adj_Monitor8_ch3,208wt,M,1,LD,7.333333333,208wt
adj_Monitor8_ch30,208wt,M,1,LD,10.16666667,208wt
adj_Monitor8_ch31,208wt,M,1,LD,7.5,208wt
adj_Monitor8_ch32,208wt,M,1,LD,6.833333333,208wt
adj_Monitor8_ch4,208wt,M,1,LD,4.333333333,208wt
adj_Monitor8_ch5,208wt,M,1,LD,6.166666667,208wt
adj_Monitor8_ch6,208wt,M,1,LD,9.166666667,208wt
adj_Monitor8_ch7,208wt,M,1,LD,8.333333333,208wt
adj_Monitor8_ch8,208wt,M,1,LD,8.5,208wt
adj_Monitor8_ch9,208wt,M,1,LD,8.5,208wt
