Line,Sex,Rep,variable,Light_cycle,Activity,Line_pooled
208wt,F,1,adj_Monitor15_ch30,LD,936,208wt
208wt,F,1,adj_Monitor15_ch31,LD,917.3333333,208wt
208wt,F,1,adj_Monitor15_ch32,LD,733.3333333,208wt
208wt,F,2,adj_Monitor73_ch1,LD,1422.5,208wt
208wt,F,2,adj_Monitor73_ch2,LD,1809.666667,208wt
208wt,F,2,adj_Monitor73_ch3,LD,1587.833333,208wt
208wt,F,2,adj_Monitor73_ch4,LD,1588.166667,208wt
208wt,F,2,adj_Monitor73_ch5,LD,1344,208wt
208wt,F,2,adj_Monitor73_ch6,LD,451.3333333,208wt
208wt,F,2,adj_Monitor73_ch7,LD,754.3333333,208wt
208wt,F,2,adj_Monitor73_ch8,LD,1230,208wt
208wt,F,2,adj_Monitor73_ch9,LD,1688.666667,208wt
208wt,F,2,adj_Monitor73_ch10,LD,1640.333333,208wt
208wt,F,2,adj_Monitor73_ch11,LD,765.8333333,208wt
208wt,F,2,adj_Monitor73_ch12,LD,1009.833333,208wt
208wt,F,2,adj_Monitor73_ch13,LD,1100,208wt
208wt,F,2,adj_Monitor73_ch14,LD,1078.333333,208wt
208wt,F,2,adj_Monitor73_ch15,LD,980.3333333,208wt
208wt,F,2,adj_Monitor73_ch16,LD,1102,208wt
208wt,F,2,adj_Monitor73_ch17,LD,1627.5,208wt
208wt,F,2,adj_Monitor73_ch18,LD,1202.666667,208wt
208wt,F,2,adj_Monitor73_ch19,LD,1354,208wt
208wt,F,2,adj_Monitor73_ch20,LD,641.6666667,208wt
208wt,F,2,adj_Monitor73_ch21,LD,1045.166667,208wt
208wt,F,2,adj_Monitor73_ch22,LD,1269.666667,208wt
208wt,F,2,adj_Monitor73_ch23,LD,1098.5,208wt
208wt,F,2,adj_Monitor73_ch24,LD,1822.333333,208wt
208wt,F,2,adj_Monitor73_ch25,LD,1347,208wt
208wt,F,2,adj_Monitor73_ch26,LD,1125.833333,208wt
208wt,F,2,adj_Monitor73_ch27,LD,1156.5,208wt
208wt,F,2,adj_Monitor73_ch28,LD,1438.666667,208wt
208wt,F,2,adj_Monitor73_ch29,LD,1420.166667,208wt
208wt,F,2,adj_Monitor73_ch30,LD,1668.333333,208wt
208wt,F,2,adj_Monitor73_ch31,LD,1426.333333,208wt
208wt,F,2,adj_Monitor73_ch32,LD,1462.333333,208wt
